"tipo_ciclo","funcionario","socio","score_match","metodo_match","orgao","empresa","cnpj","cargo","funcao","vinculo","lotacao","remuneracao_total","periodo_inicio","periodo_fim","data_contrato","valor_contrato","descricao","qualificacao_socio"
"triangulo","FUNC-34B5FD","SOC-34B5FD","100","exato","CASA_CIVIL","PRODAM PROCESSAMENTO DE DADOS AMAZONAS S A","04407920000180","CONSULTOR TECNICO II","NAO INFORMADO","CARGO COMISSION.S/VINCULO","CASA CIVIL","6500,00","2020-07","2026-02","03/09/2018","453.374,64","DESENVOLVIMENTO DE SISTEMAS DE INFORMAÇÃO, COMPREENDENDO A ANÁLISE DE FUNCIONALIDADES, HOSPEDAGEM E SUPORTE TÉCNICO.","Conselheiro de Administração"
"triangulo","FUNC-34B5FD","SOC-34B5FD","100","exato","CASA_CIVIL","PRODAM PROCESSAMENTO DE DADOS AMAZONAS S A","04407920000180","CONSULTOR TECNICO II","NAO INFORMADO","CARGO COMISSION.S/VINCULO","CASA CIVIL","6500,00","2020-07","2026-02","14/07/2023","54.432,24","Constitui o objeto do presente Termo a contratação de empresa especializada na prestação dos serviços de fornecimento de licença de uso de sistema de informação, disponibilizando o Gestor de Conteúdo Web - GERWEB para publicação de informações, notícias, vídeos e imagens via website, de acordo com o padrão de comunicação visual do Governo do Estado do Amazonas, bem como a consulta ao legado do sistema de protocolo - SPROWEB e o fornecimento de certificação digital SSL (hospedagem de servidor), visando a segurança do site no ambiente da Sede de Governo do Estado do Amazonas, coforme Termo de Referência.","Conselheiro de Administração"
"triangulo","FUNC-987F06","SOC-987F06","100","exato","CGE","PRODAM PROCESSAMENTO DE DADOS AMAZONAS S A","04407920000180","MEMBRO GESTOR","","GRUPO DE TRABALHO","GABINETE DO SECRETARIO","5000,00","2025-08","2025-08","02/01/2013","432.551,76","PRESTAÇÃO DE SERVIÇOS DE INFORMÁTICA","Presidente"
"triangulo","FUNC-987F06","SOC-987F06","100","exato","CGE","PRODAM PROCESSAMENTO DE DADOS AMAZONAS S A","04407920000180","MEMBRO GESTOR","","GRUPO DE TRABALHO","GABINETE DO SECRETARIO","5000,00","2025-08","2025-08","25/07/2013","92.628,00","PRESTAÇÃO DE SERVIÇOS TÉCNICOS EM TELECOMUNICAÇÕES, COMPREENDENDO A DISPONIBILIDADE DE ACESSO REMOTO À REDE MUNDIAL DE COMPUTADORES ATRAVÉS DE LINK VIA SATÉLITE PARA ATENDER AS NECESSIDADES DO PAC PARINTINS.","Presidente"
"triangulo","FUNC-987F06","SOC-987F06","100","exato","CGE","PRODAM PROCESSAMENTO DE DADOS AMAZONAS S A","04407920000180","MEMBRO GESTOR","","GRUPO DE TRABALHO","GABINETE DO SECRETARIO","5000,00","2025-08","2025-08","01/03/2016","102.784,08","PRESTAÇAO DE SERVIÇOS DE REDE DE GOVERNO COM FORNECIMENTO DE LINK SEGURO, DEDICADO PONTO A PONTO ENTRE A SEDE DA OUVIDORIA E A PRODAM PARA ACESSO GERENCIADO A INTERNET","Presidente"
"triangulo","FUNC-987F06","SOC-987F06","100","exato","CGE","PRODAM PROCESSAMENTO DE DADOS AMAZONAS S A","04407920000180","MEMBRO GESTOR","","GRUPO DE TRABALHO","GABINETE DO SECRETARIO","5000,00","2025-08","2025-08","01/06/2016","17.703,48","PRESTAÇAO DE SERVIÇOS DE LICENÇA DE USO DE SISTEMA DE INFORMAÇAO, COMPREENDENDO A DISPONIBILIZAÇAO DE GESTOR DE CONTEÚDO WEB, PARA PUBLICAÇAO DE INFORMAÇÒES, NOTICIAS, VIDEOS E IMAGENS VIA WEBSITE","Presidente"
"triangulo","FUNC-987F06","SOC-987F06","100","exato","CGE","PRODAM PROCESSAMENTO DE DADOS AMAZONAS S A","04407920000180","MEMBRO GESTOR","","GRUPO DE TRABALHO","GABINETE DO SECRETARIO","5000,00","2025-08","2025-08","23/07/2012","33.465,48","Prestação de serviços de informatica para confecção de web site.","Presidente"
"triangulo","FUNC-987F06","SOC-987F06","100","exato","CGE","PRODAM PROCESSAMENTO DE DADOS AMAZONAS S A","04407920000180","MEMBRO GESTOR","","GRUPO DE TRABALHO","GABINETE DO SECRETARIO","5000,00","2025-08","2025-08","18/12/2017","605.097,36","SERVIÇOS DE INFRAESTRUTURA DE TI.","Presidente"
"triangulo","FUNC-987F06","SOC-987F06","100","exato","CGE","PRODAM PROCESSAMENTO DE DADOS AMAZONAS S A","04407920000180","MEMBRO GESTOR","","GRUPO DE TRABALHO","GABINETE DO SECRETARIO","5000,00","2025-08","2025-08","16/04/2018","94.070,40","Serviços de Rede, compreendendo o ACESSO GERENCIADO À REDE MUNDIAL, via rede de governo, estabelecendo comunicação a partir de circuito de dados existente entre a CONTRATADA e a CONTRATANTE, cuja descrição está contida na Proposta 37/18.","Presidente"
"triangulo","FUNC-987F06","SOC-987F06","100","exato","CGE","PRODAM PROCESSAMENTO DE DADOS AMAZONAS S A","04407920000180","MEMBRO GESTOR","","GRUPO DE TRABALHO","GABINETE DO SECRETARIO","5000,00","2025-08","2025-08","09/03/2020","14.014,08","Contratação do SISTEMA DE PROTOCOLO SPROWEB, para atender a Controladoria Geral do Estado","Presidente"
"triangulo","FUNC-987F06","SOC-987F06","100","exato","CGE","PRODAM PROCESSAMENTO DE DADOS AMAZONAS S A","04407920000180","MEMBRO GESTOR","","GRUPO DE TRABALHO","GABINETE DO SECRETARIO","5000,00","2025-08","2025-08","16/04/2021","124.848,24","Serviços de Rede, contemplando o Acesso gerenciado à rede mundial de Internet através da Rede de Governo e fornecimento de circuito de transmissão de dados entre a CGE e a PRODAM possibilitando o acesso aos sistemas contratados residentes no Datacenter da PRODAM.","Presidente"
"triangulo","FUNC-987F06","SOC-987F06","100","exato","CGE","PRODAM PROCESSAMENTO DE DADOS AMAZONAS S A","04407920000180","MEMBRO GESTOR","","GRUPO DE TRABALHO","GABINETE DO SECRETARIO","5000,00","2025-08","2025-08","15/02/2023","605.012,52","Contratação de empresa especializada na prestação de serviços de Tecnologia da Informação (TI), para atender as necessidades da Controladoria-Geral do Estado - CGE.","Presidente"
"triangulo","FUNC-987F06","SOC-987F06","100","exato","SEAD","PRODAM PROCESSAMENTO DE DADOS AMAZONAS S A","04407920000180","SEC.EXEC.DE BENS PATR.E GAST.PUBL.","","CARGO COMISSION.S/VINCULO","SEC.EXEC.BENS PAT.GAST.PUBLI.","7583,33","2017-05","2025-09","31/10/2016","185.473,99","Desenvolvimento de sistema de informação, referente a elaboração de um novo Portal do Servidor do Estado do Amazonas, incluindo o serviço de emissão de contracheques e relatórios da folha de pagamento online.","Presidente"
"triangulo","FUNC-987F06","SOC-987F06","100","exato","SEAD","PRODAM PROCESSAMENTO DE DADOS AMAZONAS S A","04407920000180","SEC.EXEC.DE BENS PATR.E GAST.PUBL.","","CARGO COMISSION.S/VINCULO","SEC.EXEC.BENS PAT.GAST.PUBLI.","7583,33","2017-05","2025-09","31/10/2016","200.237,13","Desenvolvimento, implantação e acesso ao Armazem de Informações (BI Business Inteligence) sobre áreas de assunto ''pagamento'' ''Recursos Humanos'' e '' Combustíveis'', visando agilizar a tomada de decisões estratégicas.","Presidente"
"triangulo","FUNC-987F06","SOC-987F06","100","exato","SEAD","PRODAM PROCESSAMENTO DE DADOS AMAZONAS S A","04407920000180","SEC.EXEC.DE BENS PATR.E GAST.PUBL.","","CARGO COMISSION.S/VINCULO","SEC.EXEC.BENS PAT.GAST.PUBLI.","7583,33","2017-05","2025-09","31/10/2016","796.524,50","Hospedagem de Sistema e Suporte Técnico","Presidente"
"triangulo","FUNC-987F06","SOC-987F06","100","exato","SEAD","PRODAM PROCESSAMENTO DE DADOS AMAZONAS S A","04407920000180","SEC.EXEC.DE BENS PATR.E GAST.PUBL.","","CARGO COMISSION.S/VINCULO","SEC.EXEC.BENS PAT.GAST.PUBLI.","7583,33","2017-05","2025-09","31/10/2016","88.701,11","Sistema de informação, compreendendo implantação e a disponibilização do Portal da Transparecia a esta SEAD, via Web","Presidente"
"triangulo","FUNC-987F06","SOC-987F06","100","exato","SEAD","PRODAM PROCESSAMENTO DE DADOS AMAZONAS S A","04407920000180","SEC.EXEC.DE BENS PATR.E GAST.PUBL.","","CARGO COMISSION.S/VINCULO","SEC.EXEC.BENS PAT.GAST.PUBLI.","7583,33","2017-05","2025-09","31/10/2016","2.482.227,54","Sistema de Prodam Rh para manter o cadastro dos servidores e Folha de pagamento de Pessoal aos órgãos da Administração Estadual.","Presidente"
"triangulo","FUNC-987F06","SOC-987F06","100","exato","SEAD","PRODAM PROCESSAMENTO DE DADOS AMAZONAS S A","04407920000180","SEC.EXEC.DE BENS PATR.E GAST.PUBL.","","CARGO COMISSION.S/VINCULO","SEC.EXEC.BENS PAT.GAST.PUBLI.","7583,33","2017-05","2025-09","31/10/2016","237.825,38","Acesso a Internet, fornecimento de circuito de transmissão de dados com fornecimento de link entre as unidades desta Sead e a Prodam, serviços continuado de firewall.","Presidente"
"triangulo","FUNC-987F06","SOC-987F06","100","exato","SEAD","PRODAM PROCESSAMENTO DE DADOS AMAZONAS S A","04407920000180","SEC.EXEC.DE BENS PATR.E GAST.PUBL.","","CARGO COMISSION.S/VINCULO","SEC.EXEC.BENS PAT.GAST.PUBLI.","7583,33","2017-05","2025-09","01/08/2017","11.934.869,56","Contratação de Pessoa Jurídica especializada em tecnologia da informação, visando a prestação de serviço de licença de uso, compreendendo a disponibilização de plataforma de comunicação e colaboração corporativa, em plataforma web.","Presidente"
"triangulo","FUNC-987F06","SOC-987F06","100","exato","SEAD","PRODAM PROCESSAMENTO DE DADOS AMAZONAS S A","04407920000180","SEC.EXEC.DE BENS PATR.E GAST.PUBL.","","CARGO COMISSION.S/VINCULO","SEC.EXEC.BENS PAT.GAST.PUBLI.","7583,33","2017-05","2025-09","18/05/2018","193.069,68","PRESTAÇÃO DE SERVIÇOS DE MANUTENÇÃO, SUPORTE E HOSPEDAGEM COM INFRAESTRUTURA PAA ARMAZENAMENTO E EXECUÇÃO DO SISTEMA DE CONTROLE DE MATERIAL E PATRIMÔNIO - AJURI.","Presidente"
"triangulo","FUNC-987F06","SOC-987F06","100","exato","SEAD","PRODAM PROCESSAMENTO DE DADOS AMAZONAS S A","04407920000180","SEC.EXEC.DE BENS PATR.E GAST.PUBL.","","CARGO COMISSION.S/VINCULO","SEC.EXEC.BENS PAT.GAST.PUBLI.","7583,33","2017-05","2025-09","15/07/2020","61.746,24","Por força deste Contrato, a CONTRATADA obriga-se a prestar à CONTRATANTE os serviços de Prestação de Serviço de execução de Sistema de Protocolo em plataforma Web (SPROWeb), objetivando o controle e acompanhamento do registro de todos os documentos ou processos da CONTRATANTE. Este sistema tem por finalidade atender as necessidades de registro eletrônico de documentos.","Presidente"
"triangulo","FUNC-987F06","SOC-987F06","100","exato","SEAD","PRODAM PROCESSAMENTO DE DADOS AMAZONAS S A","04407920000180","SEC.EXEC.DE BENS PATR.E GAST.PUBL.","","CARGO COMISSION.S/VINCULO","SEC.EXEC.BENS PAT.GAST.PUBLI.","7583,33","2017-05","2025-09","03/11/2020","29.484,00","Serviço de Licença de Uso de Sistema de Informação, para o Portal de Transparência da SEA","Presidente"
"triangulo","FUNC-987F06","SOC-987F06","100","exato","SEAD","PRODAM PROCESSAMENTO DE DADOS AMAZONAS S A","04407920000180","SEC.EXEC.DE BENS PATR.E GAST.PUBL.","","CARGO COMISSION.S/VINCULO","SEC.EXEC.BENS PAT.GAST.PUBLI.","7583,33","2017-05","2025-09","03/11/2020","212.729,52","Prestação do Serviço de Hospedagem de Sistema de informação, objetivando o suporte técnico e evolução funcional de sistemas informatizados para a SEAD","Presidente"
"triangulo","FUNC-987F06","SOC-987F06","100","exato","SEAD","PRODAM PROCESSAMENTO DE DADOS AMAZONAS S A","04407920000180","SEC.EXEC.DE BENS PATR.E GAST.PUBL.","","CARGO COMISSION.S/VINCULO","SEC.EXEC.BENS PAT.GAST.PUBLI.","7583,33","2017-05","2025-09","03/11/2020","216.558,60","Prestação de serviços de informática consistindo no serviço de fornecimento de circuito de transmissão de dados e no serviço de acesso gerenciado à rede mundial (internet), para atender a SEAD","Presidente"
"triangulo","FUNC-987F06","SOC-987F06","100","exato","SEAD","PRODAM PROCESSAMENTO DE DADOS AMAZONAS S A","04407920000180","SEC.EXEC.DE BENS PATR.E GAST.PUBL.","","CARGO COMISSION.S/VINCULO","SEC.EXEC.BENS PAT.GAST.PUBLI.","7583,33","2017-05","2025-09","03/11/2020","2.285.912,16","Prestação de serviços de execução de sistemas PRODAM - RH, para manter o cadastro dos servidores e Folha de Pagamento de Pessoal, processar folhas de pagamento e fornecer relatórios para efetivação de pagamentos","Presidente"
"triangulo","FUNC-987F06","SOC-987F06","100","exato","SEAD","PRODAM PROCESSAMENTO DE DADOS AMAZONAS S A","04407920000180","SEC.EXEC.DE BENS PATR.E GAST.PUBL.","","CARGO COMISSION.S/VINCULO","SEC.EXEC.BENS PAT.GAST.PUBLI.","7583,33","2017-05","2025-09","01/09/2021","1.215.075,72","Prestação de serviços de Tecnologia da Informação, compreendendo a instalação, suporte técnico em TIC, Hospedagem em infraestrutura virtualizada, Implantação de Sistemas de informação e Desenvolvimento de Sistemas de informação, para comportar o Sistema SIGED (Sistema Gestão Eletrônica de Documentos), no ambiente virtualizado do Data Center da PRODAM, juntamente com a Proposta 273/2020 e a Portaria de dispensa de licitação, constantes do Processo.","Presidente"
"triangulo","FUNC-987F06","SOC-987F06","100","exato","SEAD","PRODAM PROCESSAMENTO DE DADOS AMAZONAS S A","04407920000180","SEC.EXEC.DE BENS PATR.E GAST.PUBL.","","CARGO COMISSION.S/VINCULO","SEC.EXEC.BENS PAT.GAST.PUBLI.","7583,33","2017-05","2025-09","21/09/2022","3.489.129,36","Prestação dos serviços de Fornecimento de Licença de Uso, compreendendo disponibilização de Plataforma de Comunicação e Colaboração Corporativa, em plataforma Web, cuja descrição está contida nos Anexos que passam a fazer parte integrante deste contrato, como se neles estivessem transcritos, juntamente com a Proposta 108/2022","Presidente"
"triangulo","FUNC-987F06","SOC-987F06","100","exato","SEAD","PRODAM PROCESSAMENTO DE DADOS AMAZONAS S A","04407920000180","SEC.EXEC.DE BENS PATR.E GAST.PUBL.","","CARGO COMISSION.S/VINCULO","SEC.EXEC.BENS PAT.GAST.PUBLI.","7583,33","2017-05","2025-09","01/09/2022","414.429,30","Prestação de serviços de Tecnologia da Informação de desenvolvimento sistema com infraestrutura para armazenamento e execução do Sistema de Controle de Material e Patrimônio - AJURI, em plataforma web, para todos os órgãos da Administração Direta e Indireta do Poder Executivo do Estado do Amazonas, para controlar os bens patrimoniais.","Presidente"
"triangulo","FUNC-987F06","SOC-987F06","100","exato","SEAD","PRODAM PROCESSAMENTO DE DADOS AMAZONAS S A","04407920000180","SEC.EXEC.DE BENS PATR.E GAST.PUBL.","","CARGO COMISSION.S/VINCULO","SEC.EXEC.BENS PAT.GAST.PUBLI.","7583,33","2017-05","2025-09","01/09/2023","813.152,64","Serviços de hospedagem de servidores em infraestrutura virtualizada para comportar o SIGED (Sistema Gestão Eletrônica de Documentos) no ambiente Data Center da Contratada e Suporte Técnico em Sistemas de Informação, nos termos deste Instrumento e do Projeto Básico e conforme Proposta nº 217/2023. REENVIO PARA ANÁLISE SGC - Envio do Contrato ao PNCP.","Presidente"
"triangulo","FUNC-987F06","SOC-987F06","100","exato","SEAD","PRODAM PROCESSAMENTO DE DADOS AMAZONAS S A","04407920000180","SEC.EXEC.DE BENS PATR.E GAST.PUBL.","","CARGO COMISSION.S/VINCULO","SEC.EXEC.BENS PAT.GAST.PUBLI.","7583,33","2017-05","2025-09","22/05/2025","685.058,88","Prestação de serviços de hospedagem de servidores em infraestrutura virtualizada para comportar o sistema SIGED (Sistema de Gestão Eletrônica de Documentos) no ambiente Data Center da PRODAM, suporte técnico em sistemas de informação e consultoria em informática, para atender as necessidades da Secretaria de Estado de Administração e Gestão - SEAD, nos termos do Contrato, Termo de Referência e Proposta da empresa.","Presidente"
"triangulo","FUNC-987F06","SOC-987F06","100","exato","SEAD","PRODAM PROCESSAMENTO DE DADOS AMAZONAS S A","04407920000180","SEC.EXEC.DE BENS PATR.E GAST.PUBL.","","CARGO COMISSION.S/VINCULO","SEC.EXEC.BENS PAT.GAST.PUBLI.","7583,33","2017-05","2025-09","19/05/2011","1.555.768,68","Prestação de serviços de processamento de Sistema de Cadastro e Folha de Pagamento de Pessoal (CFPP) dos Órgãos da Administração Pública Estadual.","Presidente"
"triangulo","FUNC-987F06","SOC-987F06","100","exato","SEAD","PRODAM PROCESSAMENTO DE DADOS AMAZONAS S A","04407920000180","SEC.EXEC.DE BENS PATR.E GAST.PUBL.","","CARGO COMISSION.S/VINCULO","SEC.EXEC.BENS PAT.GAST.PUBLI.","7583,33","2017-05","2025-09","23/10/2012","292.932,48","Acesso a rede de Governo, com o fornecimento de link seguro","Presidente"
"triangulo","FUNC-987F06","SOC-987F06","100","exato","SEAD","PRODAM PROCESSAMENTO DE DADOS AMAZONAS S A","04407920000180","SEC.EXEC.DE BENS PATR.E GAST.PUBL.","","CARGO COMISSION.S/VINCULO","SEC.EXEC.BENS PAT.GAST.PUBLI.","7583,33","2017-05","2025-09","02/12/2013","36.000,00","Prestação de serviços do Sistema de Protocolo em plataforma Web (SproWeb), utilizado como ferramento do Governo do Estado do Amazonas.","Presidente"
"triangulo","FUNC-987F06","SOC-987F06","100","exato","SEAD","PRODAM PROCESSAMENTO DE DADOS AMAZONAS S A","04407920000180","SEC.EXEC.DE BENS PATR.E GAST.PUBL.","","CARGO COMISSION.S/VINCULO","SEC.EXEC.BENS PAT.GAST.PUBLI.","7583,33","2017-05","2025-09","14/02/2014","182.379,84","Prestação de serviços de acesso a Rede de Governo com o fornecimento de link seguro.","Presidente"
"triangulo","FUNC-987F06","SOC-987F06","100","exato","SEAD","PRODAM PROCESSAMENTO DE DADOS AMAZONAS S A","04407920000180","SEC.EXEC.DE BENS PATR.E GAST.PUBL.","","CARGO COMISSION.S/VINCULO","SEC.EXEC.BENS PAT.GAST.PUBLI.","7583,33","2017-05","2025-09","25/09/2014","2.137.015,47","Serviços de hospedagem de sistemas, suporte técnico e evolução funcional de sistemas informatizados.","Presidente"
"triangulo","FUNC-987F06","SOC-987F06","100","exato","SEAD","PRODAM PROCESSAMENTO DE DADOS AMAZONAS S A","04407920000180","SEC.EXEC.DE BENS PATR.E GAST.PUBL.","","CARGO COMISSION.S/VINCULO","SEC.EXEC.BENS PAT.GAST.PUBLI.","7583,33","2017-05","2025-09","03/09/2014","102.000,00","Serviço de Informática de forma eventual","Presidente"
"triangulo","FUNC-987F06","SOC-987F06","100","exato","SEAD","PRODAM PROCESSAMENTO DE DADOS AMAZONAS S A","04407920000180","SEC.EXEC.DE BENS PATR.E GAST.PUBL.","","CARGO COMISSION.S/VINCULO","SEC.EXEC.BENS PAT.GAST.PUBLI.","7583,33","2017-05","2025-09","01/07/2015","354.099,84","Serviços especializados em tecnologia da informação, visando a implantação e hospedagem do Sistema AJURI - Módulo Patrimônio, em plataforma WEB, utilizados pelos Órgãos do Governo do Estado e gerenciados pela Secretaria de Estado de Administração e Gestão - SEAD","Presidente"
"triangulo","FUNC-987F06","SOC-987F06","100","exato","SEAD","PRODAM PROCESSAMENTO DE DADOS AMAZONAS S A","04407920000180","SEC.EXEC.DE BENS PATR.E GAST.PUBL.","","CARGO COMISSION.S/VINCULO","SEC.EXEC.BENS PAT.GAST.PUBLI.","7583,33","2017-05","2025-09","01/07/2015","31.142,64","Serviço de Cessão de Uso de Programa de computação para disponibilização do Sistema de Protocolo em Plataforma WEB - Sistema SPROWEB.","Presidente"
"triangulo","FUNC-987F06","SOC-987F06","100","exato","SEAD","PRODAM PROCESSAMENTO DE DADOS AMAZONAS S A","04407920000180","SEC.EXEC.DE BENS PATR.E GAST.PUBL.","","CARGO COMISSION.S/VINCULO","SEC.EXEC.BENS PAT.GAST.PUBLI.","7583,33","2017-05","2025-09","01/08/2016","71.219,20","Contratação de pessoa jurídica para prestação de serviços de Sistema de Informação compreendendo a disponibilização do Sistema de Controle de Frota de Veículos, em plataforma Web, a essa Secretaria de Estado para a gestão de frota própria e terceirizada deste órgão.","Presidente"
"triangulo","FUNC-F5E365","SOC-F5E365","100","exato","PGE","PRODAM PROCESSAMENTO DE DADOS AMAZONAS S A","04407920000180","PROF.DOUTOR ADJ.D 40HS-PD.111.20","SUP.DE INOV.E DESENV","ESTATUTARIO","CARGOS COMISSIONADOS S/VINCULO","9000,00","2025-04","2026-02","23/11/2011","72.297,72","PRESTAÇÃO DE SERVIÇOS DE INFORMÁTICA DE DISPONIBILIDADE DE ACESSO REMOTO","Conselheiro de Administração"
"triangulo","FUNC-F5E365","SOC-F5E365","100","exato","PGE","PRODAM PROCESSAMENTO DE DADOS AMAZONAS S A","04407920000180","PROF.DOUTOR ADJ.D 40HS-PD.111.20","SUP.DE INOV.E DESENV","ESTATUTARIO","CARGOS COMISSIONADOS S/VINCULO","9000,00","2025-04","2026-02","01/03/2012","278.534,62","HOSPEDAGEM DO SISTEMA DE EXECUÇÃO FISCAL PGE.NET DESENVOLVIDO PELA EMPRESA SOFTPLAN","Conselheiro de Administração"
